maintenance_id,machine_id,maintenance_date,maintenance_type,maintenance_status,technician_id,maintenance_notes
MAINT-000001,MCH-001-01-01,2026-01-09,Corrective,Completed,EMP-0083,Synthetic maintenance activity.
MAINT-000002,MCH-001-01-01,2026-01-13,Preventive,Completed,EMP-0056,Synthetic maintenance activity.
MAINT-000003,MCH-001-01-01,2026-01-17,Corrective,Completed,EMP-0087,Synthetic maintenance activity.
MAINT-000004,MCH-001-01-01,2026-01-19,Inspection,Completed,EMP-0017,Synthetic maintenance activity.
MAINT-000005,MCH-001-01-02,2026-01-04,Inspection,Completed,EMP-0061,Synthetic maintenance activity.
MAINT-000006,MCH-001-01-02,2026-01-08,Inspection,Completed,EMP-0069,Synthetic maintenance activity.
MAINT-000007,MCH-001-01-03,2026-01-06,Inspection,Completed,EMP-0041,Synthetic maintenance activity.
MAINT-000008,MCH-001-01-03,2026-01-11,Inspection,Completed,EMP-0059,Synthetic maintenance activity.
MAINT-000009,MCH-001-01-03,2026-01-14,Corrective,Completed,EMP-0008,Synthetic maintenance activity.
MAINT-000010,MCH-001-01-03,2026-01-16,Corrective,Completed,EMP-0086,Synthetic maintenance activity.
MAINT-000011,MCH-001-01-03,2026-01-24,Corrective,Completed,EMP-0066,Synthetic maintenance activity.
MAINT-000012,MCH-001-01-04,2026-01-01,Inspection,Completed,EMP-0060,Synthetic maintenance activity.
MAINT-000013,MCH-001-01-04,2026-01-02,Inspection,Completed,EMP-0046,Synthetic maintenance activity.
MAINT-000014,MCH-001-01-04,2026-01-04,Inspection,Completed,EMP-0008,Synthetic maintenance activity.
MAINT-000015,MCH-001-01-04,2026-01-09,Corrective,Completed,EMP-0072,Synthetic maintenance activity.
MAINT-000016,MCH-001-01-04,2026-01-13,Inspection,Completed,EMP-0027,Synthetic maintenance activity.
MAINT-000017,MCH-001-01-04,2026-01-19,Preventive,Completed,EMP-0048,Synthetic maintenance activity.
MAINT-000018,MCH-001-01-04,2026-01-26,Preventive,Completed,EMP-0100,Synthetic maintenance activity.
MAINT-000019,MCH-001-02-01,2026-01-15,Corrective,Completed,EMP-0014,Synthetic maintenance activity.
MAINT-000020,MCH-001-02-01,2026-01-24,Preventive,Completed,EMP-0075,Synthetic maintenance activity.
MAINT-000021,MCH-001-02-02,2026-01-02,Corrective,Completed,EMP-0091,Synthetic maintenance activity.
MAINT-000022,MCH-001-02-02,2026-01-06,Inspection,Completed,EMP-0048,Synthetic maintenance activity.
MAINT-000023,MCH-001-02-02,2026-01-07,Inspection,Completed,EMP-0069,Synthetic maintenance activity.
MAINT-000024,MCH-001-02-02,2026-01-10,Preventive,Completed,EMP-0044,Synthetic maintenance activity.
MAINT-000025,MCH-001-02-02,2026-01-12,Corrective,Completed,EMP-0077,Synthetic maintenance activity.
MAINT-000026,MCH-001-02-02,2026-01-14,Preventive,Completed,EMP-0076,Synthetic maintenance activity.
MAINT-000027,MCH-001-02-02,2026-01-20,Preventive,Completed,EMP-0025,Synthetic maintenance activity.
MAINT-000028,MCH-001-02-02,2026-01-21,Inspection,Completed,EMP-0062,Synthetic maintenance activity.
MAINT-000029,MCH-001-02-02,2026-01-29,Corrective,Completed,EMP-0073,Synthetic maintenance activity.
MAINT-000030,MCH-001-02-03,2026-01-15,Corrective,Completed,EMP-0088,Synthetic maintenance activity.
MAINT-000031,MCH-001-02-03,2026-01-29,Corrective,Completed,EMP-0100,Synthetic maintenance activity.
MAINT-000032,MCH-001-02-04,2026-01-08,Inspection,Completed,EMP-0047,Synthetic maintenance activity.
MAINT-000033,MCH-001-02-04,2026-01-17,Inspection,Completed,EMP-0091,Synthetic maintenance activity.
MAINT-000034,MCH-001-02-04,2026-01-18,Inspection,Completed,EMP-0016,Synthetic maintenance activity.
MAINT-000035,MCH-001-02-04,2026-01-20,Corrective,Completed,EMP-0072,Synthetic maintenance activity.
MAINT-000036,MCH-001-03-01,2026-01-02,Corrective,Completed,EMP-0088,Synthetic maintenance activity.
MAINT-000037,MCH-001-03-01,2026-01-05,Inspection,Completed,EMP-0053,Synthetic maintenance activity.
MAINT-000038,MCH-001-03-01,2026-01-20,Preventive,Completed,EMP-0011,Synthetic maintenance activity.
MAINT-000039,MCH-001-03-02,2026-01-11,Preventive,Completed,EMP-0034,Synthetic maintenance activity.
MAINT-000040,MCH-001-03-03,2026-01-11,Corrective,Completed,EMP-0003,Synthetic maintenance activity.
MAINT-000041,MCH-001-03-03,2026-01-17,Corrective,Completed,EMP-0014,Synthetic maintenance activity.
MAINT-000042,MCH-001-03-03,2026-01-21,Corrective,Completed,EMP-0055,Synthetic maintenance activity.
MAINT-000043,MCH-001-03-03,2026-01-28,Corrective,Completed,EMP-0041,Synthetic maintenance activity.
MAINT-000044,MCH-001-03-03,2026-01-29,Preventive,Completed,EMP-0079,Synthetic maintenance activity.
MAINT-000045,MCH-001-03-04,2026-01-01,Preventive,Completed,EMP-0074,Synthetic maintenance activity.
